图片名,是否合格
5162.dfda3b485087280f28e7f991422c3b4d8dde0775.jpg,Y
5827.dfe73c9e56d0c6f9c187fd9aa45bbc7689ac9163.jpg,Y
7792.dfee333430bb3d2a5cb14204ffdbc2f2a71ca945.jpg,Y
8266.dff57aab8d2d239996549727756d6f345ee60965.jpg,N
5377.dffc59494a2c3c4f769632c01752af3062ba8b9b.jpg,Y
5910.dffe0cab35781a085e69142230612bfb2f9b80f6.jpg,N
9423.e001db78c47d16c8d685adc87156763ee1dc145a.jpg,Y
9010.e0075e638d9679f2b7b4c6e322315fe9c6aefd5e.jpg,N
5099.e00faf086d450b8cd3d310edcb38a043764c3a0c.jpg,Y
7597.e01cbca76451f4cbb27e3c87d6ea063763880e5d.jpg,Y
5686.e01d7cc2119dcf9d126136d32b13cff1618b24de.jpg,N
9825.e0296f85b63f5c450c982baf6a0fad65d558b3ee.jpg,Y
9395.e02cf72c9e56b8d527dd7ca591e0b4c6df0b286e.jpg,N
8043.e02e7106180bfc5ef616a9a206a628945d418773.jpg,Y
5396.e03f3daee3c070aaea98212cb42bd033fa268416.jpg,N
7404.e04b4fa4a6c0da8173b9c218ac3e8f6cd0785a90.jpg,Y
8813.e05ef81eeb1cdf8b20be3fafa8e4dc9e7530f4cb.jpg,N
9757.e063ad05639d7d086c9b7051cceba3d82dcaf621.jpg,Y
5833.e0670d8b6263edc0f8086d12a36644f4228480e5.jpg,Y
7417.e0699d189478ce9e84c3980e9cede189685d3aad.jpg,Y
9523.e080571d9bf29fc5881d6ca16481eff5dcd5604e.jpg,Y
9581.e08317ba77f72a6c416ba838d64ea9b30b21a57e.jpg,Y
7541.e08bd989f679cd4fb49d121b4a2312bda890e826.jpg,Y
6667.e091d2b8b16d3746a24698cd5ac16dd0b645da5d.jpg,Y
8300.e091fc2da7b97b5199280b88af971a95d0b33bba.jpg,Y
9040.e0c6bedc3fd20a61a66f8ed99aa8294efb17a312.jpg,N
9544.e0c70e4bffbd9e896333447c09971ff3b4ad4bea.jpg,Y
6612.e0d02d9e282ff077dfd47bc331b9d595dfaa26cb.jpg,Y
6738.e0e9e2fcf7f838f8d3558aa0df566fa02019a014.jpg,N
9920.e0f2e0ebf3f0c5fbe057b083d5d2654e5c2e9f46.jpg,Y
9198.e0f956f894af21785662e84261e948d68de85c8b.jpg,N
6824.e0fd0cfb38ced8e5fdf2974cbddc1b254b23d941.jpg,Y
7390.e107f5ca8a646f8c974682388cf5020f3c024146.jpg,Y
8072.e10cccef4c37dca82dea3b0e82abf49184e21b47.jpg,Y
5116.e116d8bed7f2536b386bbe3b009717f6bb6f6ecb.jpg,Y
7487.e11f671862af21d9f984be658bf4dfef96537a66.jpg,Y
9528.e12117b605c74a88a974ac998e510a72273fc28e.jpg,Y
6801.e127520f5c1c2cf681f31dc6b1cc49243cb4c7fd.jpg,Y
8995.e1397cf819be75b67bc4ba5acfb81f765f8a89b5.jpg,Y
8930.e13c42e2e42b43527958849976be39e38d0bdcee.jpg,Y
6683.e14d546a3d189d1ea3e1356a9ebdf9a0b20255ba.jpg,Y
9265.e15c83b5e5376ff06014a2872a4b8e782bd37026.jpg,N
8887.e15db160dda877cfe9be3b969ffb7c5d71981503.jpg,Y
6908.e164eb46336f668a02bdef54e675db4f10e97c2a.jpg,Y
8501.e1654aaf8862e36f7ddcaf88c24deddfa89c99ac.jpg,N
9800.e169b0136a428f567448261eb02080bf882f9ae3.jpg,N
8693.e16afc965ba7e042fe41d728e2dd6824d22d1146.jpg,Y
8670.e1743cf2b4269deb68bc2f7a32b40b541c284da8.jpg,N
8541.e17958969d0e203142489d03c24ba70d625bdcd0.jpg,Y
10046.e181319432ea67d520edc3c5cdffc75ebab95b21.jpg,Y
7967.e18a34e4b2e903c4de4bc4d0038776918c076475.jpg,N
9223.e18cd10f3b74653fedf79b30f92bdf01e2c9f6ef.jpg,Y
6429.e1918ead0f5489e304a0e3207ab36ca626dad01e.jpg,Y
5990.e19a3a88956789380ffbfc6d35afe0b3c061105c.jpg,Y
5997.e1b0a5dd2b255f8a100cdc217483567d3526aa31.jpg,Y
6979.e1bbb5b790bb2768f8f04ec8bf641d1e5677e13a.jpg,Y
8053.e1c0a8ae51b4942cee31e2546e2f618fb3cc4458.jpg,N
7590.e1c32ddfb08d04a5aebbe35fff1606c1f83227f4.jpg,Y
6628.e1c4047ff98b208431f76c6145ac6fc563d15c56.jpg,Y
7980.e1c64922b5e24a1d9cda9323ed2801c74a68e22e.jpg,Y
5888.e1d1c6772b34d749b6c9d05521d6e47fd7256d64.jpg,Y
5658.e1d81ef99a4d7f608491d4474d47c91ecc919fe2.jpg,Y
8749.e1d8265146822405139f27c22f55f94741990ee0.jpg,N
